project,run_id,run_name,state,metric,row_count,first_step,last_step,first_logical_step,last_logical_step
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,train/format_reward,200,0,218,1,200
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,train/gradient_norm,200,0,218,1,200
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,train/loss,200,0,218,1,200
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,train/total_reward,200,0,218,1,200
grpo-lr-sweep,prvfjzgr,grpo_reinforce_lr1e-5,finished,train_step,200,0,218,1,200
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,eval/answer_reward,20,10,219,1,20
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,eval/format_reward,20,10,219,1,20
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,eval/response_length,20,10,219,1,20
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,eval/total_reward,20,10,219,1,20
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,eval_step,20,10,219,1,20
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,train/answer_reward,200,0,218,1,200
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,train/entropy,200,0,218,1,200
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,train/format_reward,200,0,218,1,200
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,train/gradient_norm,200,0,218,1,200
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,train/loss,200,0,218,1,200
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,train/total_reward,200,0,218,1,200
grpo-lr-sweep,26m6e34q,grpo_reinforce_lr3e-5,finished,train_step,200,0,218,1,200
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,eval/answer_reward,7,10,76,1,7
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,eval/format_reward,7,10,76,1,7
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,eval/response_length,7,10,76,1,7
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,eval/total_reward,7,10,76,1,7
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,eval_step,7,10,76,1,7
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,train/answer_reward,75,0,81,1,75
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,train/entropy,75,0,81,1,75
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,train/format_reward,75,0,81,1,75
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,train/gradient_norm,75,0,81,1,75
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,train/loss,75,0,81,1,75
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,train/total_reward,75,0,81,1,75
grpo-lr-sweep,ryknfrsa,grpo_reinforce_lr1e-4,killed,train_step,75,0,81,1,75
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,eval/answer_reward,13,10,142,1,13
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,eval/format_reward,13,10,142,1,13
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,eval/response_length,13,10,142,1,13
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,eval/total_reward,13,10,142,1,13
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,eval_step,13,10,142,1,13
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,train/answer_reward,131,0,143,1,131
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,train/entropy,131,0,143,1,131
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,train/format_reward,131,0,143,1,131
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,train/gradient_norm,131,0,143,1,131
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,train/loss,131,0,143,1,131
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,train/total_reward,131,0,143,1,131
grpo-lr-sweep,wqml7wt3,grpo_reinforce_lr3e-4,killed,train_step,131,0,143,1,131
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,eval/answer_reward,20,10,219,1,20
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,eval/format_reward,20,10,219,1,20
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,eval/response_length,20,10,219,1,20
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,eval/total_reward,20,10,219,1,20
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,eval_step,20,10,219,1,20
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,train/answer_reward,200,0,218,1,200
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,train/entropy,200,0,218,1,200
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,train/format_reward,200,0,218,1,200
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,train/gradient_norm,200,0,218,1,200
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,train/loss,200,0,218,1,200
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,train/total_reward,200,0,218,1,200
grpo-baseline-ablation,ng2mihy3,grpo_reinforce_with_baseline,finished,train_step,200,0,218,1,200
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,eval/answer_reward,20,10,219,1,20
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,eval/format_reward,20,10,219,1,20
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,eval/response_length,20,10,219,1,20
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,eval/total_reward,20,10,219,1,20
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,eval_step,20,10,219,1,20
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,train/answer_reward,200,0,218,1,200
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,train/entropy,200,0,218,1,200
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,train/format_reward,200,0,218,1,200
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,train/gradient_norm,200,0,218,1,200
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,train/loss,200,0,218,1,200
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,train/total_reward,200,0,218,1,200
grpo-baseline-ablation,2q1jb04r,grpo_no_baseline,finished,train_step,200,0,218,1,200
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,eval/answer_reward,20,10,219,1,20
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,eval/format_reward,20,10,219,1,20
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,eval/response_length,20,10,219,1,20
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,eval/total_reward,20,10,219,1,20
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,eval_step,20,10,219,1,20
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,train/answer_reward,200,0,218,1,200
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,train/entropy,200,0,218,1,200
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,train/format_reward,200,0,218,1,200
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,train/gradient_norm,200,0,218,1,200
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,train/loss,200,0,218,1,200
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,train/total_reward,200,0,218,1,200
grpo-length-norm-ablation,hul49n2r,grpo_grpo,finished,train_step,200,0,218,1,200
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,eval/answer_reward,20,10,219,1,20
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,eval/format_reward,20,10,219,1,20
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,eval/response_length,20,10,219,1,20
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,eval/total_reward,20,10,219,1,20
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,eval_step,20,10,219,1,20
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,train/answer_reward,200,0,218,1,200
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,train/entropy,200,0,218,1,200
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,train/format_reward,200,0,218,1,200
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,train/gradient_norm,200,0,218,1,200
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,train/loss,200,0,218,1,200
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,train/total_reward,200,0,218,1,200
grpo-length-norm-ablation,ohleq3ks,grpo_dr-grpo,finished,train_step,200,0,218,1,200
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,eval/answer_reward,20,10,219,1,20
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,eval/format_reward,20,10,219,1,20
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,eval/response_length,20,10,219,1,20
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,eval/total_reward,20,10,219,1,20
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,eval_step,20,10,219,1,20
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,train/answer_reward,200,0,218,1,200
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,train/entropy,200,0,218,1,200
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,train/format_reward,200,0,218,1,200
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,train/gradient_norm,200,0,218,1,200
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,train/loss,200,0,218,1,200
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,train/total_reward,200,0,218,1,200
grpo-std-norm-ablation,pu4phvbe,grpo_std_norm_lr1e-5,finished,train_step,200,0,218,1,200
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,eval/answer_reward,20,10,219,1,20
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,eval/format_reward,20,10,219,1,20
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,eval/response_length,20,10,219,1,20
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,eval/total_reward,20,10,219,1,20
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,eval_step,20,10,219,1,20
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,train/answer_reward,200,0,218,1,200
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,train/entropy,200,0,218,1,200
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,train/format_reward,200,0,218,1,200
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,train/gradient_norm,200,0,218,1,200
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,train/loss,200,0,218,1,200
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,train/total_reward,200,0,218,1,200
grpo-std-norm-ablation,pyp2f61c,grpo_no_std_norm_lr1e-5,finished,train_step,200,0,218,1,200
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,eval/answer_reward,5,10,54,1,5
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,eval/format_reward,5,10,54,1,5
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,eval/response_length,5,10,54,1,5
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,eval/total_reward,5,10,54,1,5
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,eval_step,5,10,54,1,5
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,train/answer_reward,50,0,53,1,50
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,train/clip_fraction,0,,,,
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,train/entropy,50,0,53,1,50
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,train/format_reward,50,0,53,1,50
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,train/gradient_norm,50,0,53,1,50
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,train/loss,50,0,53,1,50
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,train/total_reward,50,0,53,1,50
grpo-off-policy-sweep,pmeica7x,grpo_ep1_bs256,finished,train_step,50,0,53,1,50
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,eval/answer_reward,5,160,804,1,5
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,eval/format_reward,5,160,804,1,5
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,eval/response_length,5,160,804,1,5
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,eval/total_reward,5,160,804,1,5
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,eval_step,5,160,804,1,5
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,train/answer_reward,800,0,803,1,800
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,train/clip_fraction,800,0,803,1,800
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,train/entropy,800,0,803,1,800
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,train/format_reward,800,0,803,1,800
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,train/gradient_norm,800,0,803,1,800
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,train/loss,800,0,803,1,800
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,train/total_reward,800,0,803,1,800
grpo-off-policy-sweep,ykqpk3d4,grpo_ep2_bs32,finished,train_step,800,0,803,1,800
grpo-off-policy-sweep,p3o7ghc2,grpo_ep2_bs64,finished,eval/answer_reward,5,80,404,1,5
grpo-off-policy-sweep,p3o7ghc2,grpo_ep2_bs64,finished,eval/format_reward,5,80,404,1,5
grpo-off-policy-sweep,p3o7ghc2,grpo_ep2_bs64,finished,eval/response_length,5,80,404,1,5
grpo-off-policy-sweep,p3o7ghc2,grpo_ep2_bs64,finished,eval/total_reward,5,80,404,1,5
grpo-off-policy-sweep,p3o7ghc2,grpo_ep2_bs64,finished,eval_step,5,80,404,1,5
grpo-off-policy-sweep,p3o7ghc2,grpo_ep2_bs64,finished,train/answer_reward,400,0,403,1,400
